ID,department,education,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score,Project ID,Project Type,Start Date,Planned Completion Date,Actual Completion Date,Project Status,Priority,Task ID,Task Status,Assigned To,Hours Spent,Budget,Actual Cost,Delay Days,Cost Overrun %,Tasks Completed,Productivity Score,Training Effectiveness,Experience Index,Priority_Scaled,Workload Pressure
34,Sales & Marketing,Bachelors,1,35,3,3,1,0,52,P034,Maintenance,01-07-2025,06-10-2025,09-11-2025,Delayed,Medium,T100,Pending,E34,466,114536,95286,34,-16.8069428,0,0,52,9,2,233
35,Technology,Masters & above,4,40,3,12,0,0,77,P035,AI System,04-12-2025,31-03-2026,24-03-2026,Completed,High,T099,Blocked,E35,452,66269,53914,-7,-18.64370973,0,0,308,36,3,150.6666667
36,Technology,Bachelors,2,33,4,9,0,0,83,P036,IT Development,15-08-2024,30-10-2024,,In Progress,High,T080,Pending,E36,124,66677,55641,0,-16.55143453,0,0,166,36,3,41.33333333
37,Sales & Marketing,Masters & above,1,30,3,2,1,0,55,P037,Construction,03-01-2025,05-05-2025,16-05-2025,Delayed,Low,T029,Ongoing,E37,228,39131,31672,11,-19.06161355,0,0,55,6,1,228
38,Sales & Marketing,Bachelors,2,42,1,3,1,0,46,P038,Research,19-06-2025,22-07-2025,12-07-2025,Completed,Low,T088,Pending,E38,241,115927,115724,-10,-0.175110199,0,0,92,3,1,241
39,Sales & Marketing,Bachelors,3,29,1,3,0,0,51,P039,Healthcare Upgrade,04-03-2025,24-05-2025,,On Hold,High,T054,Blocked,E39,340,65236,61900,0,-5.113740879,0,0,153,3,3,113.3333333
40,Analytics,Bachelors,1,25,,1,0,0,88,P040,Research,03-10-2025,17-12-2025,29-12-2025,Delayed,Low,T042,Pending,E40,482,33396,38641,12,15.70547371,0,0,88,,1,482
41,Analytics,Bachelors,1,26,5,4,1,0,90,P041,IT Development,13-05-2025,13-09-2025,16-10-2025,Delayed,High,T051,Ongoing,E41,570,118580,134920,33,13.77972677,0,0,90,20,3,190
42,Sales & Marketing,Bachelors,1,27,2,3,0,0,52,P042,Infrastructure,04-08-2024,13-09-2024,,In Progress,Low,T053,Pending,E42,535,71905,59530,0,-17.21020791,0,0,52,6,1,535
43,Operations,Bachelors,1,34,5,5,1,0,66,P043,Maintenance,22-03-2024,03-05-2024,13-06-2024,Delayed,Medium,T054,Pending,E43,277,112069,128620,41,14.76858007,0,0,66,25,2,138.5
44,Sales & Marketing,Bachelors,1,26,4,5,0,0,45,P044,IT Development,16-03-2025,24-05-2025,,In Progress,Low,T068,Ongoing,E44,135,105495,94509,0,-10.41376369,0,0,45,20,1,135
45,Technology,Bachelors,1,52,5,18,0,0,80,P045,Infrastructure,03-11-2025,19-03-2026,,In Progress,Medium,T030,Blocked,E45,552,87563,74360,0,-15.07828649,0,0,80,90,2,276
46,Sales & Marketing,Bachelors,1,26,5,2,1,0,54,P046,Construction,30-10-2024,06-01-2025,,In Progress,Medium,T051,Ongoing,E46,363,113106,103201,0,-8.75727194,0,0,54,10,2,181.5
47,Analytics,Bachelors,3,27,3,2,0,0,83,P047,Construction,14-12-2025,09-02-2026,23-03-2026,Delayed,Medium,T016,Blocked,E47,89,53347,61256,42,14.82557595,0,0,249,6,2,44.5
48,Analytics,Masters & above,1,31,,1,1,0,84,P048,Healthcare Upgrade,25-10-2025,16-01-2026,14-01-2026,Completed,Medium,T076,Completed,E48,160,111778,129241,-2,15.62293117,1,0.00625,84,,2,80
49,Operations,Bachelors,1,33,4,8,1,0,59,P049,Healthcare Upgrade,28-07-2025,29-10-2025,21-10-2025,Completed,Medium,T079,Completed,E49,82,61029,70435,-8,15.41234495,1,0.012195122,59,32,2,41
50,Sales & Marketing,,1,36,5,4,1,0,49,P050,IT Development,31-08-2024,21-02-2025,22-03-2025,Delayed,Low,T037,Completed,E50,390,70175,82586,29,17.68578554,1,0.002564103,49,20,1,390
51,Technology,Masters & above,1,57,1,26,0,0,76,P051,Healthcare Upgrade,13-08-2024,12-01-2025,05-02-2025,Delayed,Low,T088,Blocked,E51,528,67597,73635,24,8.932349069,0,0,76,26,1,528
52,Sales & Marketing,Bachelors,2,46,1,7,0,0,49,P052,IT Development,08-12-2024,24-02-2025,10-04-2025,Delayed,Medium,T048,Completed,E52,242,35443,34085,45,-3.831504105,1,0.004132231,98,7,2,121
53,Sales & Marketing,Bachelors,1,30,2,3,0,0,50,P053,Healthcare Upgrade,11-05-2024,24-08-2024,,On Hold,High,T086,Ongoing,E53,157,67592,80640,0,19.30405965,0,0,50,6,3,52.33333333
54,Operations,Below Secondary,1,21,,1,1,0,56,P054,IT Development,26-05-2024,30-08-2024,,On Hold,Medium,T009,Completed,E54,84,89226,97566,0,9.347051308,1,0.011904762,56,,2,42
55,Technology,Bachelors,1,26,,1,1,0,85,P055,AI System,07-07-2024,26-08-2024,01-10-2024,Delayed,Medium,T068,Pending,E55,305,77783,86674,36,11.43051824,0,0,85,,2,152.5
56,Technology,Masters & above,2,40,3,6,0,0,81,P056,AI System,21-07-2025,19-12-2025,02-02-2026,Delayed,High,T087,Blocked,E56,259,112432,119225,45,6.0418742,0,0,162,18,3,86.33333333
57,Technology,Bachelors,2,32,3,6,0,0,79,P057,Research,17-09-2024,03-03-2025,,In Progress,Medium,T071,Pending,E57,439,80235,87370,0,8.892627906,0,0,158,18,2,219.5
58,Finance,Masters & above,1,36,3,2,1,0,61,P058,AI System,14-11-2025,14-03-2026,27-03-2026,Delayed,Medium,T043,Pending,E58,200,87425,85355,13,-2.36774378,0,0,61,6,2,100
59,Legal,Bachelors,1,28,2,2,0,0,62,P059,AI System,01-07-2025,29-11-2025,06-01-2026,Delayed,Medium,T023,Pending,E59,484,57977,46610,38,-19.60605068,0,0,62,4,2,242
60,Operations,Bachelors,1,29,5,4,1,0,56,P060,AI System,01-06-2025,02-08-2025,31-07-2025,Completed,Medium,T031,Ongoing,E60,476,52130,55579,-2,6.616151928,0,0,56,20,2,238
61,Sales & Marketing,Masters & above,1,38,4,4,0,0,49,P061,Healthcare Upgrade,14-08-2024,09-02-2025,10-03-2025,Delayed,Medium,T057,Completed,E61,148,104923,94653,29,-9.788130343,1,0.006756757,49,16,2,74
62,Technology,Bachelors,1,31,2,4,1,0,78,P062,Research,02-01-2024,07-05-2024,06-06-2024,Delayed,Medium,T047,Blocked,E62,264,82230,74611,30,-9.265474888,0,0,78,8,2,132
63,Sales & Marketing,Bachelors,1,29,1,4,0,0,46,P063,IT Development,28-01-2024,23-03-2024,,On Hold,High,T011,Ongoing,E63,582,45928,44585,0,-2.924142136,0,0,46,4,3,194
64,Technology,Below Secondary,1,23,,1,0,0,81,P064,IT Development,28-09-2025,27-03-2026,18-04-2026,Delayed,Medium,T026,Completed,E64,83,83071,91793,22,10.49945228,1,0.012048193,81,,2,41.5
65,Operations,Bachelors,1,41,4,6,1,0,60,P065,AI System,31-12-2024,23-02-2025,06-03-2025,Delayed,High,T031,Completed,E65,559,107288,106387,11,-0.83979569,1,0.001788909,60,24,3,186.3333333
66,Procurement,Bachelors,1,29,5,2,1,0,74,P066,Healthcare Upgrade,19-01-2024,15-07-2024,19-07-2024,Delayed,Low,T077,Pending,E66,561,97719,106533,4,9.019740276,0,0,74,10,1,561
67,Sales & Marketing,Bachelors,1,29,2,5,0,0,51,P067,Maintenance,07-11-2024,08-03-2025,27-03-2025,Delayed,Low,T039,Ongoing,E67,541,48900,57467,19,17.5194274,0,0,51,10,1,541
68,Operations,,1,28,3,3,0,0,59,P068,Infrastructure,19-12-2025,23-02-2026,18-03-2026,Delayed,High,T075,Ongoing,E68,290,104013,118747,23,14.165537,0,0,59,9,3,96.66666667
69,Analytics,Bachelors,2,28,5,4,1,0,84,P069,IT Development,15-02-2024,19-07-2024,,On Hold,Low,T100,Blocked,E69,209,116659,128936,0,10.52383442,0,0,168,20,1,209
70,Procurement,Bachelors,1,31,1,6,0,0,64,P070,Research,02-11-2024,29-03-2025,21-04-2025,Delayed,Medium,T021,Pending,E70,402,81027,92853,23,14.59513496,0,0,64,6,2,201
71,Technology,Masters & above,1,36,3,4,0,0,76,P071,Research,05-02-2024,21-03-2024,,On Hold,High,T032,Pending,E71,153,31662,29829,0,-5.789274209,0,0,76,12,3,51
72,Operations,Bachelors,3,26,3,4,1,0,57,P072,Research,10-05-2025,05-07-2025,11-07-2025,Delayed,High,T100,Ongoing,E72,258,32884,32487,6,-1.207274054,0,0,171,12,3,86
73,Technology,Bachelors,1,29,3,2,0,0,84,P073,IT Development,16-02-2025,13-07-2025,27-07-2025,Delayed,Low,T095,Ongoing,E73,590,79132,91112,14,15.13926098,0,0,84,6,1,590
74,Analytics,Bachelors,1,32,4,6,0,0,85,P074,Research,03-02-2025,18-05-2025,31-05-2025,Delayed,Medium,T066,Ongoing,E74,311,68613,66514,13,-3.059187035,0,0,85,24,2,155.5
75,Sales & Marketing,Bachelors,1,40,1,10,0,0,50,P075,AI System,31-01-2024,18-05-2024,,In Progress,High,T061,Completed,E75,187,50219,53156,0,5.848384078,1,0.005347594,50,10,3,62.33333333
76,Analytics,Bachelors,2,38,4,13,0,0,87,P076,AI System,21-10-2025,08-01-2026,,In Progress,Low,T010,Pending,E76,542,67214,67945,0,1.087571042,0,0,174,52,1,542
77,Analytics,Bachelors,1,42,5,11,1,0,80,P077,Construction,02-03-2024,04-06-2024,29-05-2024,Completed,Medium,T067,Pending,E77,370,33910,30828,-6,-9.088764376,0,0,80,55,2,185
78,Procurement,Masters & above,1,33,3,6,0,0,68,P078,Infrastructure,23-02-2025,23-05-2025,15-05-2025,Completed,High,T099,Completed,E78,585,119340,138934,-8,16.41863583,1,0.001709402,68,18,3,195
79,Analytics,Bachelors,1,31,5,5,1,0,92,P079,AI System,27-10-2025,17-03-2026,05-04-2026,Delayed,High,T020,Ongoing,E79,529,45427,43911,19,-3.337222357,0,0,92,25,3,176.3333333
80,Operations,Masters & above,1,35,3,4,0,0,58,P080,Infrastructure,13-10-2025,26-03-2026,,In Progress,Medium,T028,Pending,E80,211,103984,115012,0,10.60547777,0,0,58,12,2,105.5
81,HR,Masters & above,1,58,5,6,1,0,51,P081,AI System,05-09-2024,23-11-2024,,In Progress,Medium,T050,Pending,E81,340,94676,99466,0,5.059360345,0,0,51,30,2,170
82,Sales & Marketing,Bachelors,1,26,2,4,0,0,48,P082,Construction,14-01-2025,18-06-2025,18-06-2025,Completed,Low,T076,Pending,E82,342,116158,123249,0,6.104616126,0,0,48,8,1,342
83,HR,Bachelors,1,33,3,8,1,0,49,P083,IT Development,13-10-2024,18-02-2025,,In Progress,High,T028,Ongoing,E83,512,87163,82772,0,-5.03768801,0,0,49,24,3,170.6666667
84,Technology,Bachelors,1,30,3,3,1,0,80,P084,Healthcare Upgrade,28-11-2025,22-03-2026,,On Hold,Medium,T051,Pending,E84,227,79799,84342,0,5.693053798,0,0,80,9,2,113.5
85,Technology,Masters & above,1,43,3,12,0,0,79,P085,Healthcare Upgrade,22-04-2024,22-05-2024,18-05-2024,Completed,Low,T005,Ongoing,E85,158,36784,33312,-4,-9.438886472,0,0,79,36,1,158
86,HR,Bachelors,1,31,4,7,0,0,48,P086,Healthcare Upgrade,17-04-2025,02-08-2025,,On Hold,Medium,T016,Ongoing,E86,333,36409,38653,0,6.163311269,0,0,48,28,2,166.5
87,Analytics,Bachelors,1,32,3,5,1,0,86,P087,Healthcare Upgrade,13-01-2024,27-06-2024,14-06-2024,Completed,Low,T088,Ongoing,E87,252,34228,27880,-13,-18.54621947,0,0,86,15,1,252
88,Technology,Masters & above,2,57,2,7,0,0,83,P088,IT Development,27-10-2025,03-12-2025,,On Hold,Low,T005,Blocked,E88,259,34282,40379,0,17.78484336,0,0,166,14,1,259
89,Operations,Bachelors,1,54,4,22,0,0,57,P089,Infrastructure,04-10-2024,16-01-2025,08-02-2025,Delayed,Medium,T036,Blocked,E89,421,94714,83594,23,-11.74060857,0,0,57,88,2,210.5
90,Analytics,,2,37,5,8,1,0,82,P090,Construction,28-03-2024,07-08-2024,18-09-2024,Delayed,High,T004,Ongoing,E90,346,92538,97950,42,5.848408221,0,0,164,40,3,115.3333333
91,R&D,Masters & above,2,27,4,5,0,0,86,P091,IT Development,04-08-2025,10-09-2025,11-09-2025,Delayed,High,T008,Completed,E91,301,41636,44811,1,7.625612451,1,0.003322259,172,20,3,100.3333333
92,Operations,Masters & above,1,44,3,10,0,0,55,P092,AI System,17-07-2025,23-09-2025,,On Hold,High,T031,Completed,E92,596,45698,51280,0,12.21497659,1,0.001677852,55,30,3,198.6666667
93,Technology,Masters & above,1,37,3,10,0,0,81,P093,Construction,20-02-2024,05-06-2024,,In Progress,High,T086,Ongoing,E93,243,45735,44883,0,-1.862905871,0,0,81,30,3,81
94,Procurement,Masters & above,1,48,4,8,0,0,72,P094,Construction,13-06-2025,15-11-2025,05-12-2025,Delayed,Medium,T045,Pending,E94,485,106799,104875,20,-1.801514995,0,0,72,32,2,242.5
95,Sales & Marketing,Bachelors,1,31,3,6,1,0,43,P095,Research,25-03-2024,03-08-2024,19-08-2024,Delayed,Medium,T053,Ongoing,E95,263,108384,114426,16,5.574623561,0,0,43,18,2,131.5
96,Finance,Bachelors,1,28,5,5,1,0,60,P096,AI System,23-09-2024,17-11-2024,,On Hold,Medium,T020,Completed,E96,544,107500,94535,0,-12.06046512,1,0.001838235,60,25,2,272
97,Procurement,Masters & above,1,34,3,4,0,0,69,P097,Maintenance,19-07-2025,26-12-2025,,In Progress,Low,T049,Pending,E97,203,52060,56037,0,7.63926239,0,0,69,12,1,203
98,Sales & Marketing,Bachelors,1,44,1,4,0,0,47,P098,Maintenance,02-07-2025,02-11-2025,05-12-2025,Delayed,Medium,T037,Blocked,E98,176,109651,116588,33,6.326435691,0,0,47,4,2,88
99,Sales & Marketing,Bachelors,1,27,5,2,0,0,50,P099,Maintenance,06-06-2024,02-12-2024,19-11-2024,Completed,Low,T083,Completed,E99,126,72498,81299,-13,12.13964523,1,0.007936508,50,10,1,126
100,Operations,Masters & above,1,45,3,4,1,0,57,P100,IT Development,13-01-2025,31-03-2025,16-03-2025,Completed,Low,T066,Ongoing,E100,218,119881,136452,-15,13.82287435,0,0,57,12,1,218
101,Sales & Marketing,Bachelors,1,24,4,2,0,0,48,P101,Infrastructure,12-05-2024,17-10-2024,,In Progress,Low,T087,Blocked,E101,471,93999,105114,0,11.82459388,0,0,48,8,1,471
102,Analytics,Bachelors,1,37,5,4,0,0,82,P102,Maintenance,09-07-2025,21-09-2025,,In Progress,Medium,T068,Completed,E102,564,94414,79503,0,-15.79320863,1,0.00177305,82,20,2,282
103,Analytics,Masters & above,1,27,,1,1,0,86,P103,Maintenance,08-08-2025,11-11-2025,30-10-2025,Completed,Low,T037,Completed,E103,146,89722,88848,-12,-0.97412006,1,0.006849315,86,,1,146
104,Legal,Bachelors,1,33,,1,1,0,59,P104,Research,09-10-2025,16-01-2026,,In Progress,High,T093,Pending,E104,342,35555,38786,0,9.08732949,0,0,59,,3,114
105,Sales & Marketing,Masters & above,1,31,1,2,1,0,53,P105,IT Development,22-09-2025,07-12-2025,04-01-2026,Delayed,Medium,T044,Completed,E105,118,44233,52054,28,17.68136911,1,0.008474576,53,2,2,59
106,Sales & Marketing,Masters & above,3,38,3,5,0,0,49,P106,IT Development,14-06-2025,15-08-2025,,In Progress,Low,T049,Ongoing,E106,384,73022,80638,0,10.4297335,0,0,147,15,1,384
107,Procurement,Bachelors,1,32,5,2,1,0,72,P107,AI System,02-11-2024,03-03-2025,,In Progress,Medium,T037,Pending,E107,249,114852,102653,0,-10.62149549,0,0,72,10,2,124.5
108,Analytics,Bachelors,1,29,3,4,0,0,84,P108,Research,08-03-2025,07-07-2025,03-08-2025,Delayed,High,T056,Completed,E108,340,44736,50959,27,13.91049714,1,0.002941176,84,12,3,113.3333333
109,Sales & Marketing,Bachelors,1,37,4,9,0,0,50,P109,Research,21-06-2024,29-09-2024,,On Hold,Medium,T008,Blocked,E109,530,46888,37592,0,-19.82596826,0,0,50,36,2,265
110,Operations,Bachelors,2,42,3,12,0,0,60,P110,Research,20-07-2025,22-09-2025,,On Hold,Medium,T025,Blocked,E110,418,58505,63665,0,8.819758995,0,0,120,36,2,209
111,R&D,Masters & above,2,32,5,5,1,0,88,P111,IT Development,25-04-2024,28-07-2024,26-08-2024,Delayed,Low,T092,Blocked,E111,509,69730,79019,29,13.32138248,0,0,176,25,1,509
112,Operations,Bachelors,1,45,3,3,0,0,60,P112,AI System,19-09-2025,18-01-2026,08-01-2026,Completed,Medium,T094,Blocked,E112,83,34641,37664,-10,8.726653388,0,0,60,9,2,41.5
113,Analytics,Bachelors,1,28,3,7,0,0,83,P113,Construction,01-02-2024,02-03-2024,,On Hold,High,T017,Blocked,E113,422,104758,119294,0,13.87578992,0,0,83,21,3,140.6666667
114,Technology,Masters & above,1,35,1,9,0,0,81,P114,AI System,09-08-2025,18-09-2025,,On Hold,Medium,T043,Pending,E114,144,49782,46614,0,-6.363745932,0,0,81,9,2,72
115,Sales & Marketing,Bachelors,3,28,3,5,0,0,48,P115,Construction,06-05-2024,05-08-2024,03-08-2024,Completed,High,T049,Completed,E115,164,77162,66881,-2,-13.32391592,1,0.006097561,144,15,3,54.66666667
116,Operations,Bachelors,1,37,1,3,1,0,59,P116,Infrastructure,14-08-2025,25-11-2025,10-11-2025,Completed,Low,T012,Pending,E116,341,86172,73711,-15,-14.46061366,0,0,59,3,1,341
117,Analytics,Masters & above,1,38,4,7,1,0,88,P117,Healthcare Upgrade,03-04-2024,10-05-2024,05-05-2024,Completed,High,T019,Ongoing,E117,443,113514,98422,-5,-13.29527635,0,0,88,28,3,147.6666667
118,Procurement,Bachelors,1,31,1,6,0,0,68,P118,AI System,24-01-2024,25-04-2024,10-05-2024,Delayed,Medium,T048,Ongoing,E118,450,55821,59701,15,6.95078913,0,0,68,6,2,225
119,Operations,Masters & above,2,43,3,2,0,0,69,P119,Construction,01-09-2025,06-11-2025,,On Hold,Low,T100,Pending,E119,100,71499,61355,0,-14.18761102,0,0,138,6,1,100
120,Operations,Bachelors,1,32,3,2,1,0,62,P120,AI System,22-07-2024,29-12-2024,20-01-2025,Delayed,Medium,T051,Pending,E120,522,101467,114332,22,12.67899908,0,0,62,6,2,261
121,Procurement,Below Secondary,1,24,4,2,1,0,69,P121,Infrastructure,21-03-2024,17-05-2024,29-05-2024,Delayed,Medium,T078,Blocked,E121,123,31274,30171,12,-3.526891347,0,0,69,8,2,61.5
122,Operations,Masters & above,1,52,5,8,0,0,59,P122,Research,03-04-2024,14-06-2024,12-07-2024,Delayed,Medium,T029,Pending,E122,559,44792,36023,28,-19.57715664,0,0,59,40,2,279.5
123,Technology,Masters & above,1,38,5,2,0,0,88,P123,AI System,29-05-2025,15-07-2025,,In Progress,Medium,T099,Ongoing,E123,432,39226,32352,0,-17.52409116,0,0,88,10,2,216
124,Finance,Bachelors,1,35,3,4,0,0,59,P124,AI System,13-03-2024,13-06-2024,05-07-2024,Delayed,Low,T094,Pending,E124,191,84120,67742,22,-19.46980504,0,0,59,12,1,191
125,Technology,Masters & above,1,39,5,4,0,1,81,P125,Construction,27-09-2025,07-02-2026,,On Hold,Medium,T038,Blocked,E125,579,32584,32512,0,-0.220967346,0,0,81,20,2,289.5
126,Procurement,Bachelors,1,31,3,5,1,0,65,P126,Infrastructure,27-03-2025,16-07-2025,26-07-2025,Delayed,Low,T027,Blocked,E126,265,51253,50193,10,-2.068171619,0,0,65,15,1,265
127,Operations,Bachelors,1,37,3,5,0,0,57,P127,Infrastructure,29-10-2024,21-02-2025,10-03-2025,Delayed,Low,T073,Ongoing,E127,365,34387,30393,17,-11.61485445,0,0,57,15,1,365
128,Analytics,,1,27,,1,0,0,80,P128,AI System,11-08-2025,27-12-2025,30-12-2025,Delayed,Low,T083,Completed,E128,248,47843,46416,3,-2.982672491,1,0.004032258,80,,1,248
129,Operations,Masters & above,1,37,5,9,1,0,56,P129,Healthcare Upgrade,04-06-2024,25-07-2024,,On Hold,Medium,T036,Blocked,E129,94,62254,60452,0,-2.894593119,0,0,56,45,2,47
130,Analytics,Bachelors,2,31,3,5,1,0,81,P130,Infrastructure,21-01-2025,07-03-2025,21-03-2025,Delayed,High,T038,Pending,E130,276,90684,94663,14,4.387764104,0,0,162,15,3,92
